"itemid","lineid","linenumber","pwid","pwcontent","pwrelevantnumbering","wordid","wordcontent","wordsortcontent","wordtype","itemheading","itemseries","itemsubseries","itemtablenumber","plnumbering","collectionorder","collectionname","chronology","findarea","set_ordine","plcontentwithnumber","writers","defaultsort"
"1","1","r..1","1","de-u-ki-jo-jo","11076","1","de-u-ki-jo-jo","de-u-ki-jo-jo","common word","KN Fp(1) 1","F","p","1","0","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .1    de-u-ki-jo-jo       'me-no'","138","0010:F:p:00000010:00000001"
"1","1","r..1","2","me-no","11077","2","me-no","me-no","common word","KN Fp(1) 1","F","p","1","0","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .1    de-u-ki-jo-jo       'me-no'","138","0010:F:p:00000010:00000001"
"1","2","r..2","3","di-ka-ta-jo","11078","3","di-ka-ta-jo","di-ka-ta-jo","common word","KN Fp(1) 1","F","p","1","10","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .2 di-ka-ta-jo  /  di-we    OLE    S   1","138","0010:F:p:00000010:00000001"
"1","2","r..2","4","di-we","11079","4","di-we","di-we","common word","KN Fp(1) 1","F","p","1","10","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .2 di-ka-ta-jo  /  di-we    OLE    S   1","138","0010:F:p:00000010:00000001"
"1","2","r..2","5","OLE","11080","5","OLE","OLE","logogram","KN Fp(1) 1","F","p","1","10","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .2 di-ka-ta-jo  /  di-we    OLE    S   1","138","0010:F:p:00000010:00000001"
"1","2","r..2","6","S","11081","6","S","S","measure unit","KN Fp(1) 1","F","p","1","10","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .2 di-ka-ta-jo  /  di-we    OLE    S   1","138","0010:F:p:00000010:00000001"
"1","2","r..2","7","1","11082","7","1","1","number","KN Fp(1) 1","F","p","1","10","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .2 di-ka-ta-jo  /  di-we    OLE    S   1","138","0010:F:p:00000010:00000001"
"1","3","r..3","8","da-da-re-jo-de","11083","8","da-da-re-jo-de","da-da-re-jo-de","common word","KN Fp(1) 1","F","p","1","20","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .3 da-da-re-jo-de     OLE    S   2","138","0010:F:p:00000010:00000001"
"1","3","r..3","9","OLE","11084","5","OLE","OLE","logogram","KN Fp(1) 1","F","p","1","20","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .3 da-da-re-jo-de     OLE    S   2","138","0010:F:p:00000010:00000001"
"1","3","r..3","10","S","11085","6","S","S","measure unit","KN Fp(1) 1","F","p","1","20","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .3 da-da-re-jo-de     OLE    S   2","138","0010:F:p:00000010:00000001"
"1","3","r..3","11","2","11086","9","2","2","number","KN Fp(1) 1","F","p","1","20","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .3 da-da-re-jo-de     OLE    S   2","138","0010:F:p:00000010:00000001"
"1","4","r..4","12","pa-de","11087","10","pa-de","pa-de","common word","KN Fp(1) 1","F","p","1","30","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .4 pa-de      OLE    S   1","138","0010:F:p:00000010:00000001"
"1","4","r..4","13","OLE","11088","5","OLE","OLE","logogram","KN Fp(1) 1","F","p","1","30","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .4 pa-de      OLE    S   1","138","0010:F:p:00000010:00000001"
"1","4","r..4","14","S","11089","6","S","S","measure unit","KN Fp(1) 1","F","p","1","30","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .4 pa-de      OLE    S   1","138","0010:F:p:00000010:00000001"
"1","4","r..4","15","1","11090","7","1","1","number","KN Fp(1) 1","F","p","1","30","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .4 pa-de      OLE    S   1","138","0010:F:p:00000010:00000001"
"1","5","r..5","16","pa-si-te-o-i","11091","11","pa-si-te-o-i","pa-si-te-o-i","common word","KN Fp(1) 1","F","p","1","40","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .5 pa-si-te-o-i         OLE   1","138","0010:F:p:00000010:00000001"
"1","5","r..5","17","OLE","11092","5","OLE","OLE","logogram","KN Fp(1) 1","F","p","1","40","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .5 pa-si-te-o-i         OLE   1","138","0010:F:p:00000010:00000001"
"1","5","r..5","18","1","11093","7","1","1","number","KN Fp(1) 1","F","p","1","40","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .5 pa-si-te-o-i         OLE   1","138","0010:F:p:00000010:00000001"
"1","6","r..6","19","qe-ra-si-ja","11094","12","qe-ra-si-ja","qe-ra-si-ja","common word","KN Fp(1) 1","F","p","1","50","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .6 qe-ra-si-ja          OLE    S   1[","138","0010:F:p:00000010:00000001"
"1","6","r..6","20","OLE","11095","5","OLE","OLE","logogram","KN Fp(1) 1","F","p","1","50","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .6 qe-ra-si-ja          OLE    S   1[","138","0010:F:p:00000010:00000001"
"1","6","r..6","21","S","11096","6","S","S","measure unit","KN Fp(1) 1","F","p","1","50","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .6 qe-ra-si-ja          OLE    S   1[","138","0010:F:p:00000010:00000001"
"1","6","r..6","22","1[","11097","13","1[","1","number","KN Fp(1) 1","F","p","1","50","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .6 qe-ra-si-ja          OLE    S   1[","138","0010:F:p:00000010:00000001"
"1","7","r..7","23","a-mi-ni-so","11098","14","a-mi-ni-so","a-mi-ni-so","common word","KN Fp(1) 1","F","p","1","60","10","KN","LM IIIA2 or LM IIIB","KN, A","10","r. .7 a-mi-ni-so   , /    pa-si-te-o-i    S   1[","138","0010:F:p:00000010:00000001"
