word_type,token_count
common word,15262
number,8930
word divider,5401
logogram,4093
measure unit,2353
logogram: specified: gender,1830
blank space,1342
logogram: syllabogram used as logogram,996
abbreviation,728
traces,565
break at left,548
break at right,448
logogram: ligature: logogram + syllabogram,231
check mark,183
logogram: specified,160
deest,132
seal,108
logogram: specified: ligature: logogram + syllabogram,101
⟧,80
⟦,62
quantum satis,61
logogram: monogram,44
missing signs,29
dividing line,13
narrow line,8
graffito,6
question mark,6
logogram: ligature: logogram + logogram,4
large dot,3
logogram: ligature: logogram + ?,2
logogram: ligature: logogram + syllabogram + syllabogram,1
